"word","frequency"
"remember",5.71
"son",5.71
"lot",5.71
"every",5.71
"three",5.7
"ask",5.7
"came",5.7
"show",5.69
"enough",5.69
"hear",5.69
"mom",5.69
"many",5.68
"same",5.68
"kill",5.68
"car",5.68
"kind",5.68
"o",5.68
"another",5.68
"course",5.68
"care",5.68
"being",5.67
"hell",5.66
"try",5.66
"may",5.66
"next",5.66
"talking",5.66
"looking",5.65
"friend",5.65
"own",5.65
"dead",5.65
"else",5.65
"through",5.64
"already",5.64
"boy",5.64
"brother",5.63
"move",5.63
"live",5.63
"woman",5.63
"went",5.63
"real",5.62
"yourself",5.62
"baby",5.62
"saw",5.61
"best",5.61
"together",5.61
"morning",5.6
"found",5.6
"getting",5.6
"without",5.6
"mind",5.6
"seen",5.59
"might",5.59
"job",5.59
"problem",5.58
"play",5.58
"also",5.58
"tomorrow",5.58
"happy",5.58
"family",5.58
"hold",5.57
"huh",5.57
"school",5.57
"wanna",5.57
"room",5.57
"called",5.57
"such",5.56
"days",5.56
"once",5.56
"head",5.56
"alone",5.56
"most",5.56
"wasn't",5.55
"meet",5.55
"heard",5.55
"wife",5.55
"ready",5.55
"bit",5.54
"die",5.54
"used",5.54
"everyone",5.54
"open",5.54
"eat",5.54
"bring",5.54
"year",5.54
"start",5.53
"took",5.53
"run",5.53
"hard",5.53
"use",5.53
"gotta",5.52
"lost",5.52
"idea",5.52
"trying",5.52
"whole",5.52
"haven",5.52
"bye",5.52
"since",5.52
"excuse",5.52
"later",5.52
"miss",5.52
"knew",5.51
"wouldn't",5.51
"yet",5.51
"actually",5.51
"matter",5.51
"door",5.51
"while",5.51
"worry",5.51
"pretty",5.5
"men",5.5
"turn",5.5
"myself",5.5
"end",5.5
"pay",5.49
"police",5.49
"face",5.49
"damn",5.49
"gone",5.49
"heart",5.49
"saying",5.49
"sit",5.49
"watch",5.49
"beautiful",5.49
"forget",5.49
"tonight",5.48
"soon",5.48
"anyone",5.48
"shut",5.48
"says",5.48
"both",5.47
"crazy",5.47
"ago",5.47
"each",5.47
"true",5.47
"phone",5.47
"hand",5.47
"few",5.46
"water",5.46
"guess",5.46
"late",5.46
"hope",5.45
"couldn't",5.45
"drink",5.45
"business",5.45
"eyes",5.44
"change",5.44
"sleep",5.44
"young",5.44
"second",5.42
"easy",5.42
"kid",5.42
"its",5.42
"cause",5.42
"five",5.42
"until",5.42
"hit",5.41
"times",5.41
"inside",5.41
"stuff",5.4
"thinking",5.4
"person",5.4
"everybody",5.39
"ass",5.39
"mine",5.39
"ah",5.39
"music",5.39
"case",5.39
"having",5.39
"gave",5.39
"death",5.39
"whatever",5.39
"anyway",5.39
"part",5.39
"different",5.39
"happen",5.39
"check",5.39
"l",5.38
"number",5.38
"sister",5.38
"working",5.38
"children",5.38
"far",5.37
"hands",5.37
"cut",5.37
"four",5.37
"nobody",5.37
"doctor",5.37
"daughter",5.37
"speak",5.37
"c",5.37
"important",5.36
"waiting",5.36
"under",5.36
"close",5.36
"body",5.36
"comes",5.36
"probably",5.36
"ain't",5.36
"read",5.36
"exactly",5.35
"minutes",5.35
"fun",5.35
"minute",5.35
"story",5.35
"taking",5.35
"somebody",5.34
"buy",5.34
"afraid",5.34
"hurry",5.34
"married",5.34
"dog",5.34
"means",5.34
"child",5.34
"women",5.34
"hurt",5.34
"fight",5.33
"party",5.33
"least",5.33
"y",5.33
"goes",5.33
"b",5.33
"deal",5.33
"stupid",5.33
"point",5.33
"week",5.33
"shall",5.32
"rest",5.32
"anymore",5.32
"high",5.32
"half",5.32
"game",5.32
"bitch",5.32
"making",5.32
"cool",5.32
"set",5.32
"word",5.32
"stand",5.31
"become",5.31
"husband",5.31
"yours",5.31
"moment",5.31
"wish",5.31
"almost",5.31
"side",5.31
"free",5.3
"walk",5.3
"fire",5.3
"break",5.3
"against",5.3
"met",5.3
"welcome",5.3
"j",5.3
"honey",5.29
"truth",5.29
"behind",5.29
"blood",5.29
"chance",5.29
"dear",5.29
"between",5.28
"though",5.28
"hours",5.28
"boss",5.27
"country",5.27
"city",5.27
"war",5.27
"quite",5.27
"hot",5.27
"supposed",5.27
"brought",5.27
"bed",5.27
"food",5.27
"sometimes",5.26
"front",5.26
"alright",5.26
"funny",5.26
"e",5.26
"jesus",5.26
"shot",5.26
"full",5.25
"r",5.25
"question",5.25
"black",5.25
"outside",5.25
"able",5.25
"small",5.25
"answer",5.25
"scared",5.25
"light",5.25
"trust",5.25
"lf",5.24
"town",5.24
"six",5.24
"mr",5.24
"reason",5.24
"living",5.23
"lose",5.23
"either",5.23
"promise",5.23
"lady",5.23
"send",5.23
"trouble",5.23
"book",5.23
"uncle",5.23
"order",5.23
"hate",5.23
"shoot",5.23
"save",5.22
"sick",5.22
"leaving",5.22
"serious",5.22
"p",5.22
"line",5.22
"ahead",5.22
"wow",5.22
"playing",5.22
"gun",5.22
"tried",5.22
"touch",5.22
"daddy",5.21
"pick",5.21
"telling",5.21
"office",5.21
"lord",5.21
"couple",5.21
"hair",5.2
"power",5.2
"feeling",5.2
"alive",5.2
"news",5.2
"team",5.2
"clear",5.2
"fact",5.19
"hour",5.19
"along",5.19
"white",5.19
"needs",5.19
"calm",5.19
"dance",5.18
"special",5.18
"dream",5.18
"shouldn't",5.18
"write",5.18
"cold",5.18
"lives",5.17
"drive",5.17
"dinner",5.17
"law",5.17
"perfect",5.17
"ma",5.17
"company",5.17
"red",5.17
"sex",5.16
"film",5.16
"human",5.16
"win",5.16
"cannot",5.16
"king",5.16
"million",5.16
"running",5.15
"follow",5.15
"sent",5.15
"sing",5.15
"taken",5.15
"fast",5.15
"beat",5.15
"ten",5.15
"careful",5.15
"anybody",5.15
"plan",5.15
"earth",5.15
"john",5.14
"n",5.14
"hospital",5.14
"catch",5.14
"words",5.14
"top",5.14
"coffee",5.14
"luck",5.14
"hang",5.13
"quiet",5.13
"street",5.13
"em",5.13
"sweet",5.13
"poor",5.13
"return",5.13
"control",5.13
"sound",5.13
"sort",5.13
"lucky",5.13
"whoa",5.12
"himself",5.12
"asking",5.12
"ha",5.12
"past",5.12
"safe",5.12
"fall",5.11
"possible",5.11
"wake",5.11
"master",5.11
"air",5.11
"perhaps",5.11
"class",5.11
"till",5.11
"felt",5.11
"f",5.11
"jack",5.11
"lie",5.11
"evening",5.1
"sign",5.1
"learn",5.1
"bastard",5.1
"mad",5.1
"finally",5.09
"longer",5.09
"bet",5.09
"tv",5.09
"u",5.09
"fault",5.09
"song",5.09
"strange",5.09
"clean",5.09
"somewhere",5.09
"changed",5.09
"straight",5.09
"meeting",5.09
"less",5.08
"movie",5.08
"kiss",5.08
"road",5.08
"tired",5.08
"calling",5.08
"pass",5.07
"birthday",5.07
"secret",5.07
"dude",5.07
"future",5.07
"step",5.07
"seem",5.07
"pull",5.07
"piece",5.07
"sense",5.07
"sell",5.07
"born",5.07
"early",5.07
"loved",5.07
"yesterday",5.07
"eye",5.07
"age",5.06
"idiot",5.06
"month",5.06
"drop",5.06
"finish",5.06
"throw",5.06
"mouth",5.06
"worked",5.06
"known",5.06
"picture",5.06
"clothes",5.05
"il",5.05
"land",5.05
"captain",5.05
"pain",5.05
"ladies",5.05
"seeing",5.04
"quick",5.04
"busy",5.04
"wonderful",5.04
"explain",5.04
"works",5.04
"marry",5.04
"given",5.04
"voice",5.04
"feet",5.04
"g",5.03
"glad",5.03
"moving",5.03
"kidding",5.03
"strong",5.03
"state",5.02
"none",5.02
"rather",5.02
"bag",5.02
"act",5.02
"sun",5.02
"forgive",5.02
"girlfriend",5.01
"forgot",5.01
"seven",5.01
"turned",5.01
"laughing",5.01
"president",5.01
"finished",5.01
"rock",5.01
"relax",5.01
"happening",5.01
"giving",5.01
"train",5.01
"worth",5
"ball",5
"decided",5
"date",5
"wear",5
"ride",5
"during",5
"dark",5
"wonder",5
"watching",5
"wedding",5
"floor",5
"imagine",5
"absolutely",5
"christmas",5
"weird",4.99
"forever",4.99
"swear",4.99
"completely",4.99
"building",4.99
"totally",4.99
"goodbye",4.99
"worse",4.99
"station",4.98
"short",4.98
"missing",4.98
"bought",4.98
"kept",4.98
"fear",4.98
"asshole",4.98
"mum",4.98
"broke",4.98
"normal",4.98
"mistake",4.98
"buddy",4.98
"worried",4.98
"blue",4.97
"needed",4.97
"choice",4.97
"caught",4.97
"hotel",4.97
"ya",4.97
"fish",4.97
"paid",4.97
"teacher",4.97
"fool",4.97
"government",4.96
"near",4.96
"report",4.96
"difficult",4.96
"fell",4.96
"officer",4.96
"smell",4.96
"single",4.96
"darling",4.96
"america",4.96
"middle",4.96
"round",4.96
"group",4.96
"american",4.96
"simple",4.96
"peace",4.96
"christ",4.96
"instead",4.95
"enjoy",4.95
"lying",4.95
"message",4.95
"spend",4.95
"bank",4.95
"hungry",4.95
"boyfriend",4.95
"accident",4.95
"system",4.95
"join",4.95
"present",4.95
"dangerous",4.95
"murder",4.95
"fly",4.95
"eight",4.95
"sea",4.95
"attack",4.95
"attention",4.94
"amazing",4.94
"mama",4.94
"drunk",4.94
"situation",4.94
"table",4.94
"k",4.94
"star",4.94
"marriage",4.94
"ice",4.94
"tea",4.94
"cry",4.94
"history",4.94
"respect",4.94
"rich",4.94
"hide",4.94
"david",4.94
"paper",4.94
"deep",4.94
"speaking",4.94
"quickly",4.94
"general",4.93
"sad",4.93
"letter",4.93
"army",4.93
"ran",4.93
"boat",4.93
"ring",4.93
"teach",4.93
"security",4.93
"information",4.93
"mm",4.93
"meant",4.93
"anywhere",4.93
"figure",4.93
"dare",4.92
"sitting",4.92
"court",4.92
"interesting",4.92
"seriously",4.92
"mess",4.92
"trip",4.92
"soul",4.92
"club",4.92
"thousand",4.92
"eh",4.92
"key",4.92
"angry",4.92
"lovely",4.92
"handle",4.92
"hasn't",4.92
"count",4.92
"crying",4.92
"smoke",4.92
"stick",4.91
"stopped",4.91
"michael",4.91
"quit",4.91
"entire",4.91
"camera",4.91
"card",4.91
"bar",4.91
"chief",4.91
"bus",4.91
"whether",4.91
"interested",4.91
"cover",4.91
"often",4.91
"terrible",4.91
"smart",4.91
"box",4.91
"force",4.91
"lunch",4.91
"became",4.91
"blow",4.91
"cute",4.91
"la",4.91
"seat",4.9
"liked",4.9
"visit",4.9
"brain",4.9
"expect",4.9
"test",4.9
"area",4.9
"paul",4.9
"sake",4.9
"college",4.9
"beer",4.9
"charge",4.9
"lead",4.89
"fair",4.89
"broken",4.89
"york",4.89
"lived",4.89
"english",4.89
"dreams",4.89
"tom",4.89
"agree",4.89
"across",4.89
"fat",4.89
"bill",4.89
"bloody",4.89
"art",4.89
"hundred",4.89
"frank",4.89
"fix",4.89
"sleeping",4.89
"record",4.89
"definitely",4.89
"scene",4.89
"church",4.88
"joke",4.88
"tough",4.88
"afternoon",4.88
"accept",4.88
"missed",4.88
"dress",4.88
"cell",4.88
"public",4.88
"moved",4.88
"ground",4.88
"holy",4.88
"except",4.88
"laugh",4.88
"certain",4.88
"continue",4.88
"surprise",4.88
"horse",4.87
"protect",4.87
"park",4.87
"type",4.87
"village",4.87
"radio",4.87
"joe",4.87
"bullshit",4.87
"saved",4.87
"impossible",4.87
"lots",4.87
"eating",4.87
"neither",4.87
"window",4.87
"pleasure",4.87
"ooh",4.87
"certainly",4.87
"crap",4.87
"prison",4.87
"george",4.87
"shop",4.87
"third",4.87
"service",4.87
"store",4.87
"proud",4.86
"wrote",4.86
"slow",4.86
"gay",4.86
"carry",4.86
"offer",4.86
"share",4.86
"evidence",4.86
"cop",4.86
"sam",4.86
"miles",4.86
"wall",4.86
"unless",4.86
"dying",4.86
"wearing",4.86
"fighting",4.86
"standing",4.86
"killing",4.86
"summer",4.86
"rules",4.86
"evil",4.86
"especially",4.85
"using",4.85
"congratulations",4.85
"kick",4.85
"mark",4.85
"madam",4.85
"walking",4.85
"ship",4.85
"h",4.85
"crime",4.85
"plane",4.85
"jail",4.85
"cash",4.85
"space",4.85
"gift",4.85
"besides",4.85
"dirty",4.85
"french",4.85
"smile",4.85
"huge",4.85
"within",4.85
"jump",4.85
"suddenly",4.84
"study",4.84
"green",4.84
"tree",4.84
"forward",4.84
"personal",4.84
"machine",4.84
"mate",4.84
"goddamn",4.84
"mommy",4.84
"driving",4.84
"shoes",4.84
"wine",4.84
"gold",4.84
"v",4.84
"beginning",4.84
"spent",4.83
"list",4.83
"legs",4.83
"passed",4.83
"heaven",4.83
"bear",4.83
"honor",4.83
"cat",4.83
"reach",4.83
"grandma",4.83
"position",4.83
"suppose",4.83
"listening",4.83
"everywhere",4.83
"glass",4.83
"begin",4.83
"ii",4.83
"difference",4.83
"realize",4.83
"mary",4.82
"private",4.82
"sky",4.82
"otherwise",4.82
"arrived",4.82
"push",4.82
"foot",4.82
"choose",4.82
"cross",4.82
"self",4.82
"grow",4.82
"apartment",4.82
"starting",4.82
"promised",4.82
"clock",4.82
"honest",4.81
"action",4.81
"stuck",4.81
"north",4.81
"truck",4.81
"river",4.81
"pregnant",4.81
"nine",4.81
"island",4.81
"jimmy",4.81
"writing",4.81
"staying",4.81
"field",4.81
"relationship",4.81
"wind",4.81
"peter",4.8
"support",4.8
"closed",4.8
"charlie",4.8
"band",4.8
"upset",4.8
"owe",4.8
"moon",4.8
"involved",4.8
"whose",4.8
"chicken",4.8
"south",4.8
"bother",4.8
"decide",4.79
"treat",4.79
"contact",4.79
"dick",4.79
"nervous",4.79
"aunt",4.79
"low",4.79
"killer",4.79
"dogs",4.79
"played",4.79
"director",4.79
"drinking",4.79
"experience",4.79
"arms",4.79
"taste",4.79
"bathroom",4.79
"match",4.78
"hole",4.78
"singing",4.78
"ho",4.78
"press",4.78
"double",4.78
"major",4.78
"lawyer",4.78
"themselves",4.78
"usually",4.78
"spirit",4.78
"professor",4.78
"price",4.78
"grab",4.78
"queen",4.78
"judge",4.78
"written",4.78
"ben",4.78
"immediately",4.77
"form",4.77
"rain",4.77
"silly",4.77
"beauty",4.77
"famous",4.77
"doubt",4.77
"gas",4.77
"computer",4.77
"paris",4.77
"leg",4.77
"cheers",4.77
"decision",4.77
"partner",4.77
"magic",4.76
"escape",4.76
"allowed",4.76
"san",4.76
"ray",4.76
"board",4.76
"kitchen",4.76
"stage",4.76
"mike",4.76
"favor",4.76
"nor",4.76
"asleep",4.76
"upon",4.76
"empty",4.76
"agent",4.76
"search",4.76
"waste",4.76
"address",4.76
"de",4.76
"nose",4.75
"roll",4.75
"whom",4.75
"rid",4.75
"grandpa",4.75
"itself",4.75
"suit",4.75
"race",4.75
"notice",4.75
"grand",4.75
"bigger",4.75
"simply",4.75
"lee",4.75
"earlier",4.75
"steal",4.75
"fit",4.75
"allow",4.75
"ourselves",4.75
"however",4.74
"w",4.74
"worst",4.74
"appreciate",4.74
"hero",4.74
"prove",4.74
"level",4.74
"energy",4.74
"papa",4.74
"detective",4.74
"warm",4.74
"above",4.74
"bob",4.74
"screaming",4.74
"faster",4.74
"twice",4.74
"mission",4.74
"nature",4.74
"sold",4.74
"memory",4.74
"understood",4.74
"chinese",4.74
"sweetheart",4.73
"meat",4.73
"final",4.73
"arm",4.73
"learned",4.73
"raise",4.73
"fired",4.73
"harry",4.73
"nuts",4.73
"burn",4.73
"princess",4.73
"heavy",4.73
"patient",4.73
"knock",4.73
"flight",4.73
"pants",4.73
"spot",4.73
"van",4.73
"guard",4.73
"putting",4.73
"reading",4.73
"balls",4.73
"wild",4.73
"cook",4.73
"cost",4.73
"acting",4.73
"obviously",4.73
"alex",4.73
"cup",4.73
"student",4.72
"driver",4.72
"blame",4.72
"fresh",4.72
"x",4.72
"sarah",4.72
"faith",4.72
"flying",4.72
"enemy",4.72
"shooting",4.72
"animal",4.72
"closer",4.72
"planet",4.72
"military",4.72
"necessary",4.72
"favorite",4.72
"names",4.72
"excellent",4.72
"tight",4.72
"max",4.72
"apart",4.72
"holding",4.72
"complete",4.72
"breathe",4.71
"picked",4.71
"fantastic",4.71
"milk",4.71
"blind",4.71
"beach",4.71
"following",4.71
"knife",4.71
"tape",4.71
"restaurant",4.71
"motherfucker",4.71
"west",4.71
"twenty",4.71
"wash",4.71
"interest",4.71
"duty",4.71
"east",4.71
"arrest",4.71
"lock",4.71
"ghost",4.71
"feelings",4.71
"leaves",4.71
"papers",4.71
"ways",4.71
"ugly",4.71
"dancing",4.71
"hiding",4.7
"lay",4.7
"angel",4.7
"stole",4.7
"london",4.7
"further",4.7
"pray",4.7
"department",4.7
"ex",4.7
"language",4.7
"build",4.7
"practice",4.7
"shirt",4.7
"upstairs",4.7
"built",4.7
"herself",4.7
"market",4.7
"according",4.7
"hadn't",4.7
"ow",4.7
"breakfast",4.7
"skin",4.7
"lights",4.69
"losing",4.69
"several",4.69
"taught",4.69
"neck",4.69
"mention",4.69
"cousin",4.69
"coach",4.69
"drug",4.69
"large",4.69
"risk",4.69
"shame",4.69
"photo",4.69
"bomb",4.69
"began",4.69
"sweetie",4.69
"bunch",4.69
"states",4.69
"bro",4.69
"nick",4.69
"rule",4.69
"extra",4.68
"center",4.68
"admit",4.68
"national",4.68
"united",4.68
"screw",4.68
"enter",4.68
"nonsense",4.68
"apologize",4.68
"weekend",4.68
"video",4.68
"innocent",4.68
"dumb",4.68
"folks",4.68
"slowly",4.68
"mon",4.68
"bottle",4.68
"common",4.68
"stone",4.68
"ridiculous",4.68
"wondering",4.68
"size",4.68
"weapon",4.68
"james",4.68
"spoke",4.67
"danger",4.67
"view",4.67
"main",4.67
"battle",4.67
"helping",4.67
"suicide",4.67
"health",4.67
"destroy",4.67
"japanese",4.67
"bird",4.67
"correct",4.67
"prince",4.67
"track",4.67
"although",4.67
"surprised",4.67
"german",4.67
"devil",4.67
"mister",4.67
"freedom",4.67
"manager",4.67
"example",4.67
"handsome",4.66
"among",4.66
"dressed",4.66
"bell",4.66
"forgotten",4.66
"cake",4.66
"code",4.66
"consider",4.66
"corner",4.66
"crowd",4.66
"deserve",4.66
"exist",4.66
"camp",4.66
"awesome",4.66
"super",4.66
"lift",4.66
"guns",4.66
"natural",4.66
"pressure",4.66
"style",4.66
"society",4.66
"account",4.65
"biggest",4.65
"pack",4.65
"speed",4.65
"introduce",4.65
"indeed",4.65
"feed",4.65
"travel",4.65
"total",4.65
"teeth",4.65
"local",4.65
"incredible",4.65
"beg",4.65
"copy",4.65
"medicine",4.65
"ticket",4.65
"agreed",4.65
"client",4.65
"meaning",4.65
"pop",4.65
"operation",4.65
"responsible",4.65
"mountain",4.65
"bottom",4.65
"older",4.65
"breath",4.65
"survive",4.64
"steve",4.64
"anna",4.64
"er",4.64
"keeping",4.64
"guilty",4.64
"tony",4.64
"project",4.64
"awful",4.64
"training",4.64
"pig",4.64
"prefer",4.64
"strength",4.64
"remain",4.64
"due",4.64
"sight",4.64
"birth",4.64
"piss",4.64
"hanging",4.64
"expensive",4.64
"suspect",4.64
"kim",4.64
"yep",4.64
"victim",4.64
"opportunity",4.64
"whore",4.63
"heat",4.63
"bite",4.63
"prepare",4.63
"serve",4.63
"mrs",4.63
"henry",4.63
"reality",4.63
"hardly",4.63
"hall",4.63
"towards",4.63
"recognize",4.63
"knowing",4.63
"sunday",4.63
"powerful",4.63
"danny",4.63
"rent",4.63
"cream",4.63
"created",4.63
"lieutenant",4.63
"naked",4.63
"toilet",4.63
"dry",4.63
"plus",4.63
"numbers",4.62
"sword",4.62
"throat",4.62
"heads",4.62
"color",4.62
"brilliant",4.62
"rose",4.62
"willing",4.62
"nowhere",4.62
"held",4.62
"note",4.62
"ill",4.62
"selling",4.62
"beyond",4.62
"noticed",4.62
"monster",4.62
"whenever",4.62
"university",4.62
"release",4.62
"medical",4.62
"credit",4.62
"character",4.62
"paying",4.62
"flat",4.62
"horrible",4.62
"grown",4.62
"happiness",4.62
"draw",4.62
"create",4.62
"jake",4.61
"truly",4.61
"clearly",4.61
"jerk",4.61
"emergency",4.61
"gang",4.61
"snow",4.61
"wet",4.61
"greatest",4.61
"ours",4.61
"bike",4.61
"hat",4.61
"excited",4.61
"science",4.61
"file",4.61
"gotten",4.61
"bodies",4.61
"friday",4.61
"cards",4.61
"prepared",4.61
"belong",4.61
"whoever",4.61
"opened",4.61
"usual",4.61
"somehow",4.6
"ended",4.6
"hearing",4.6
"bobby",4.6
"martin",4.6
"manage",4.6
"split",4.6
"johnny",4.6
"loud",4.6
"cheap",4.6
"shower",4.6
"noise",4.6
"figured",4.6
"football",4.6
"plenty",4.6
"fill",4.6
"shh",4.6
"leader",4.6
"minister",4.6
"fake",4.6
"research",4.6
"trick",4.6
"suck",4.6
"pretend",4.6
"slept",4.6
"stomach",4.59
"lonely",4.59
"career",4.59
"weak",4.59
"believed",4.59
"condition",4.59
"jealous",4.59
"richard",4.59
"saturday",4.59
"sergeant",4.59
"program",4.59
"finger",4.59
"weight",4.59
"chris",4.59
"aah",4.59
"billy",4.59
"advice",4.59
"invited",4.59
"fate",4.59
"russian",4.59
"oil",4.59
"pal",4.58
"grace",4.58
"criminal",4.58
"funeral",4.58
"opinion",4.58
"pardon",4.58
"weather",4.58
"letters",4.58
"bread",4.58
"soldier",4.58
"social",4.58
"santa",4.58
"falling",4.58
"forest",4.58
"female",4.58
"pool",4.58
"nearly",4.58
"tie",4.58
"breaking",4.58
"mail",4.58
"discuss",4.58
"smoking",4.58
"realized",4.58
"colonel",4.57
"apparently",4.57
"player",4.57
"majesty",4.57
"justice",4.57
"tiny",4.57
"threw",4.57
"purpose",4.57
"scare",4.57
"model",4.57
"tommy",4.57
"japan",4.57
"engine",4.57
"lover",4.57
"cancer",4.57
"strike",4.57
"insane",4.57
"post",4.57
"witness",4.57
"spring",4.57
"afford",4.57
"bridge",4.57
"priest",4.57
"jim",4.57
"responsibility",4.57
"soft",4.57
"robert",4.57
"path",4.57
"received",4.57
"male",4.57
"taxi",4.57
"crew",4.57
"surely",4.57
"universe",4.57
"lately",4.57
"guest",4.57
"lines",4.56
"sugar",4.56
"planning",4.56
"bringing",4.56
"rings",4.56
"settle",4.56
"airport",4.56
"per",4.56
"silence",4.56
"ancient",4.56
"comfortable",4.56
"al",4.56
"period",4.56
"arrive",4.56
"contract",4.56
"stolen",4.56
"lied",4.56
"spare",4.56
"bless",4.56
"garden",4.56
"brave",4.56
"spread",4.56
"sexy",4.56
"shake",4.56
"easier",4.56
"paint",4.56
"shouting",4.56
"swim",4.56
"checked",4.56
"fan",4.56
"france",4.56
"tears",4.55
"issue",4.55
"maria",4.55
"boring",4.55
"disgusting",4.55
"add",4.55
"useless",4.55
"laughter",4.55
"roger",4.55
"ocean",4.55
"ate",4.55
"freak",4.55
"bath",4.55
"gate",4.55
"joking",4.55
"opening",4.55
"target",4.55
"base",4.55
"lake",4.55
"chair",4.55
"china",4.55
"turning",4.55
"painting",4.55
"destroyed",4.55
"regret",4.55
"easily",4.55
"block",4.55
"grew",4.55
"goal",4.54
"dig",4.54
"political",4.54
"genius",4.54
"bucks",4.54
"owner",4.54
"roof",4.54
"spanish",4.54
"mood",4.54
"possibly",4.54
"conversation",4.54
"simon",4.54
"da",4.54
"interview",4.54
"proof",4.54
"brown",4.54
"based",4.54
"pity",4.53
"stops",4.53
"trade",4.53
"defense",4.53
"subject",4.53
"england",4.53
"jerry",4.53
"honestly",4.53
"tongue",4.53
"eggs",4.53
"joy",4.53
"soup",4.53
"liar",4.53
"kate",4.53
"murdered",4.53
"recently",4.53
"covered",4.53
"century",4.53
"ordered",4.53
"rush",4.53
"lower",4.53
"trial",4.53
"artist",4.53
"fellow",4.53
"aware",4.53
"grandfather",4.53
"perfectly",4.52
"repeat",4.52
"cow",4.52
"pussy",4.52
"delicious",4.52
"hoping",4.52
"bullet",4.52
"daniel",4.52
"command",4.52
"nurse",4.52
"europe",4.52
"loose",4.52
"grandmother",4.52
"unfortunately",4.52
"carefully",4.52
"celebrate",4.52
"property",4.52
"bright",4.52
"chocolate",4.52
"expected",4.52
"therefore",4.52
"gentleman",4.52
"thief",4.52
"finding",4.52
"amount",4.52
"forced",4.52
"theory",4.52
"showing",4.52
"insurance",4.52
"lesson",4.52
"meal",4.52
"success",4.52
"storm",4.52
"ringing",4.51
"map",4.51
"ruined",4.51
"unit",4.51
"professional",4.51
"charles",4.51
"downstairs",4.51
"cigarette",4.51
"invite",4.51
"original",4.51
"pills",4.51
"foreign",4.51
"winter",4.51
"journey",4.51
"talent",4.51
"onto",4.51
"concerned",4.51
"parts",4.51
"site",4.51
"rights",4.51
"sudden",4.51
"ashamed",4.51
"farm",4.51
"community",4.51
"basically",4.51
"fortune",4.51
"remind",4.51
"higher",4.51
"cheese",4.51
"glasses",4.51
"breathing",4.51
"dragon",4.51
"screwed",4.51
"signal",4.51
"younger",4.51
"monday",4.51
