type,color,extensions,tm_scope,ace_mode,language_id,language,aliases,codemirror_mode,codemirror_mime_type,interpreters,group,filenames,wrap,fs_name,searchable
programming,#00bce4,"['.bb', '.bbappend', '.bbclass', '.inc']",source.bb,text,32,BitBake,,,,,,,,,
markup,#f7523f,"['.blade', '.blade.php']",text.html.php.blade,text,33,Blade,,,,,,,,,
programming,#00FFAE,"['.bb', '.decls']",source.blitzmax,text,34,BlitzBasic,"['b3d', 'blitz3d', 'blitzplus', 'bplus']",,,,,,,,
programming,#cd6400,['.bmx'],source.blitzmax,text,35,BlitzMax,['bmax'],,,,,,,,
programming,#12223c,['.bsv'],source.bsv,verilog,36,Bluespec,"['bluespec bsv', 'bsv']",verilog,text/x-systemverilog,,,,,,
programming,#12223c,['.bs'],source.bh,haskell,641580358,Bluespec BH,"['bh', 'bluespec classic']",haskell,text/x-haskell,,Bluespec,,,,
programming,#d4bec1,['.boo'],source.boo,text,37,Boo,,,,,,,,,
programming,#c80fa0,['.bpl'],source.boogie,text,955017407,Boogie,,,,['boogie'],,,,,
programming,#2F2530,"['.b', '.bf']",source.bf,text,38,Brainfuck,,brainfuck,text/x-brainfuck,,,,,,
programming,#66AABB,['.bs'],source.brs,text,943571030,BrighterScript,,,,,,,,,
programming,#662D91,['.brs'],source.brs,text,39,Brightscript,,,,,,,,,
data,#ffd539,,text.browserslist,text,153503348,Browserslist,,,,,,"['.browserslistrc', 'browserslist']",,,
programming,#555555,"['.c', '.cats', '.h', '.h.in', '.idc']",source.c,c_cpp,41,C,,clike,text/x-csrc,['tcc'],,,,,
programming,#178600,"['.cs', '.cake', '.cs.pp', '.csx', '.linq']",source.cs,csharp,42,C#,"['csharp', 'cake', 'cakescript']",clike,text/x-csharp,,,,,,
programming,#f34b7d,"['.cpp', '.c++', '.cc', '.cp', '.cppm', '.cxx', '.h', '.h++', '.hh', '.hpp', '.hxx', '.inc', '.inl', '.ino', '.ipp', '.ixx', '.re', '.tcc', '.tpp', '.txx']",source.c++,c_cpp,43,C++,['cpp'],clike,text/x-c++src,,,,,,
data,,['.c-objdump'],objdump.x86asm,assembly_x86,44,C-ObjDump,,,,,,,,,
programming,,['.chs'],source.haskell,haskell,45,C2hs Haskell,['c2hs'],haskell,text/x-haskell,,Haskell,,,,
programming,#0092d1,['.cds'],source.cds,text,390788699,CAP CDS,['cds'],,,,,,,,
data,,['.cil'],source.cil,text,29176339,CIL,,,,,,,,,
programming,#00A300,['.clp'],source.clips,text,46,CLIPS,,,,,,,,,
programming,#DA3434,"['.cmake', '.cmake.in']",source.cmake,text,47,CMake,,cmake,text/x-cmake,,,['CMakeLists.txt'],,,
programming,,"['.cob', '.cbl', '.ccp', '.cobol', '.cpy']",source.cobol,cobol,48,COBOL,,cobol,text/x-cobol,,,,,,
data,,,text.codeowners,gitignore,321684729,CODEOWNERS,,,,,,['CODEOWNERS'],,,
data,#F1A42B,['.dae'],text.xml,xml,49,COLLADA,,xml,text/xml,,,,,,
data,#244776,['.cson'],source.coffee,coffee,424,CSON,,coffeescript,text/x-coffeescript,,,,,,
markup,#663399,['.css'],source.css,css,50,CSS,,css,text/css,,,,,,
data,#237346,['.csv'],none,text,51,CSV,,,,,,,,,
programming,#5886E1,['.cue'],source.cue,text,356063509,CUE,,,,,,,,,
programming,#00007a,['.w'],none,text,657332628,CWeb,,,,,,,,,
