region,subregion,state_level,state_admission_date,state_abbreviation,state,state_capital,state_largest,no,name,gender,party,start_date,end_date
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,19,Fife Symington,,Republican,06-03-1991,05-09-1997
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,20,Jane Dee Hull,,Republican,05-09-1997,06-01-2003
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,21,Janet Napolitano,,Democratic,06-01-2003,02-011-2009
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,22,Jan Brewer,,Republican,02-011-2009,05-01-2015
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,23,Doug Ducey,,Republican,05-01-2015,02-01-2023
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,24,Katie Hobbs,,Democratic,02-01-2023,incumbent
South,West South Central,state,1836-06-15,AR,Arkansas,Little Rock,Little Rock,,,,,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,1,Peter Hardeman Burnett,male,Independent,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,2,John McDougal,male,Independent,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,3,John Bigler,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,4,J. Neely Johnson,male,American,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,5,John B. Weller,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,6,Milton Latham,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,7,John G. Downey,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,8,Leland Stanford,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,9,Frederick Low,male,Union,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,10,Henry Huntly Haight,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,11,Newton Booth,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,12,Romualdo Pacheco,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,13,William Irwin,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,14,George Clement Perkins,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,15,George Stoneman,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,16,Washington Bartlett,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,17,Robert Waterman,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,18,Henry Markham,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,19,James Budd,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,20,Henry Tifft Gage,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,21,George Pardee,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,22,James Gillett,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,23,Hiram Johnson,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,24,William Stephens,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,25,Friend Richardson,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,26,C. C. Young,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,27,James Rolph,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,28,Frank Merriam,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,29,Culbert Olson,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,30,Earl Warren,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,31,Goodwin Knight,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,32,Pat Brown,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,33,Ronald Reagan,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,34,Jerry Brown,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,35,George Deukmejian,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,36,Pete Wilson,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,37,Gray Davis,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,38,Arnold Schwarzenegger,male,Republican,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,39,Jerry Brown,male,Democratic,,
West,Pacific,state,1850-09-09,CA,California,Sacramento,Los Angeles,40,Gavin Newsom,male,Democratic,,
West,Mountain,state,1876-08-01,CO,Colorado,Denver,Denver,,,,,,
Northeast,New England,state,1788-01-09,CT,Connecticut,Hartford,Bridgeport,,,,,,
South,South Atlantic,state,1787-12-07,DE,Delaware,Dover,Wilmington,,,,,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,1,William Dunn Moseley,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,2,Thomas Brown,male,Whig,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,3,James E. Broome,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,4,Madison S. Perry,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,5,John Milton,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,6,Abraham K. Allison,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,7,William Marvin,male,Independent,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,8,David S. Walker,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,9,Harrison Reed,male,Repulican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,10,Ossian B. Hart,male,Repulican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,11,Marcellus Stearns,male,Repulican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,12,George Franklin Drew,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,13,William D. Bloxham,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,14,Edward A. Perry,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,15,Francis P. Fleming,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,16,Henry L. Mitchell,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,17,William D. Bloxham,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,18,William Sherman Jennings,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,19,Napoleon B. Broward,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,20,Albert W. Gilchrist,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,21,Park Trammell,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,22,Sidney Johnston Catts,male,Prohibition,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,23,Cary A. Hardee,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,24,John W. Martin,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,25,Doyle E. Carlton,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,26,David Sholtz,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,27,Fred P. Cone,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,28,Spessard Holland,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,29,Millard Caldwell,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,30,Fuller Warren,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,31,Daniel T. McCarty,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,32,Charley Eugene Johns,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,33,LeRoy Collins,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,34,C. Farris Bryant,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,35,W. Haydon Burns,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,36,Claude R. Kirk Jr.,male,Republican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,37,Reubin Askew,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,38,Bob Graham,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,39,Wayne Mixson,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,40,Bob Martinez,male,Republican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,41,Lawton Chiles,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,42,Buddy MacKay,male,Democratic,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,43,Jeb Bush,male,Republican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,44,Charlie Crist,male,Republican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,45,Rick Scott,male,Republican,,
South,South Atlantic,state,1845-03-03,FL,Florida,Tallahassee,Jacksonville,46,Ron DeSantis,male,Republican,,
South,South Atlantic,state,1788-01-02,GA,Georgia,Atlanta,Atlanta,,,,,,
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,1,William F. Quinn,,Republican,21-08-1959,03-12-1962
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,2,John A. Burns,,Democratic,03-12-1962,02-12-1974
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,3,George Ariyoshi,,Democratic,02-12-1974,01-12-1986
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,4,John D. Waihe'e III,,Democratic,01-12-1986,05-12-1994
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,5,Ben Cayetano,,Democratic,05-12-1994,02-12-2002
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,6,Linda Lingle,,Republican,02-12-2002,06-12-2010
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,7,Neil Abercrombie,,Democratic,06-12-2010,01-12-2014
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,8,David Ige,,Democratic,01-12-2014,05-12-2022
West,Pacific,state,1959-08-21,HI,Hawaii,Honolulu,Honolulu,9,Josh Green,,Democratic,05-12-2022,incumbent
West,Mountain,state,1890-07-03,ID,Idaho,Boise,Boise,,,,,,
Midwest,East North Central,state,1818-12-03,IL,Illinois,Springfield,Chicago,,,,,,
Midwest,East North Central,state,1816-12-11,IN,Indiana,Indianapolis,Indianapolis,,,,,,
Midwest,West North Central,state,1846-12-28,IA,Iowa,Des Moines,Des Moines,,,,,,
Midwest,West North Central,state,1861-01-29,KS,Kansas,Topeka,Wichita,,,,,,
South,East South Central,state,1792-06-01,KY,Kentucky,Frankfort,Louisville,,,,,,
South,West South Central,state,1812-04-30,LA,Louisiana,Baton Rouge,New Orleans,,,,,,
Northeast,New England,state,1820-03-15,ME,Maine,Augusta,Portland,,,,,,
South,South Atlantic,state,1788-04-28,MD,Maryland,Annapolis,Baltimore,,,,,,
Northeast,New England,state,1788-02-06,MA,Massachusetts,Boston,Boston,,,,,,
Midwest,East North Central,state,1837-01-26,MI,Michigan,Lansing,Detroit,,,,,,
Midwest,West North Central,state,1858-05-11,MN,Minnesota,St. Paul,Minneapolis,,,,,,
South,East South Central,state,1817-12-10,MS,Mississippi,Jackson,Jackson,,,,,,
Midwest,West North Central,state,1821-08-10,MO,Missouri,Jefferson City,Kansas City,,,,,,
West,Mountain,state,1889-11-08,MT,Montana,Helena,Billings,,,,,,
Midwest,West North Central,state,1867-03-01,NE,Nebraska,Lincoln,Omaha,,,,,,
West,Mountain,state,1864-10-31,NV,Nevada,Carson City,Las Vegas,,,,,,
Northeast,New England,state,1788-06-21,NH,New Hampshire,Concord,Manchester,,,,,,
Northeast,Middle Atlantic,state,1787-12-18,NJ,New Jersey,Trenton,Newark,,,,,,
West,Mountain,state,1912-01-06,NM,New Mexico,Santa Fe,Albuquerque,,,,,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,1,George Clinton,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,2,John Jay,male,Federalist,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,1,George Clinton,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,3,Morgan Lewis,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,4,Daniel D. Tompkins,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,5,John Tayler,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,6,DeWitt Clinton,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,7,Joseph C. Yates,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,6,DeWitt Clinton,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,8,Nathaniel Pitcher,male,Democratic–Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,9,Martin Van Buren,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,10,Enos T. Throop,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,11,William L. Marcy,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,12,William H. Seward,male,Whig,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,13,William C. Bouck,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,14,Silas Wright,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,15,John Young,male,Whig,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,16,Hamilton Fish,male,Whig,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,17,Washington Hunt,male,Whig,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,18,Horatio Seymour,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,19,Myron H. Clark,male,Whig,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,20,John A. King,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,21,Edwin D. Morgan,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,18,Horatio Seymour,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,22,Reuben Fenton,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,23,John T. Hoffman,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,24,John Adams Dix,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,25,Samuel J. Tilden,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,26,Lucius Robinson,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,27,Alonzo B. Cornell,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,28,Grover Cleveland,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,29,David B. Hill,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,30,Roswell P. Flower,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,31,Levi P. Morton,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,32,Frank S. Black,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,33,Theodore Roosevelt,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,34,Benjamin Odell,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,35,Frank W. Higgins,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,36,Charles Evans Hughes,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,37,Horace White,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,38,John Alden Dix,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,39,William Sulzer,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,40,Martin H. Glynn,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,41,Charles Seymour Whitman,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,42,Al Smith,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,43,Nathan L. Miller,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,42,Al Smith,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,44,Franklin D. Roosevelt,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,45,Herbert H. Lehman,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,46,Charles Poletti,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,47,Thomas E. Dewey,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,48,W. Averell Harriman,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,49,Nelson Rockefeller,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,50,Malcolm Wilson,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,51,Hugh Carey,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,52,Mario Cuomo,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,53,George Pataki,male,Republican,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,54,Eliot Spitzer,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,55,David Paterson,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,56,Andrew Cuomo,male,Democratic,,
Northeast,Middle Atlantic,state,1788-07-26,NY,New York,Albany,New York City,57,Kathy Hochul,female,Democratic,,
South,South Atlantic,state,1789-11-21,NC,North Carolina,Raleigh,Charlotte,,,,,,
Midwest,West North Central,state,1889-11-02,ND,North Dakota,Bismarck,Fargo,,,,,,
Midwest,East North Central,state,1803-03-01,OH,Ohio,Columbus,Columbus,,,,,,
South,West South Central,state,1907-11-16,OK,Oklahoma,Oklahoma City,Oklahoma City,,,,,,
West,Pacific,state,1859-02-14,OR,Oregon,Salem,Portland,,,,,,
Northeast,Middle Atlantic,state,1787-12-12,PA,Pennsylvania,Harrisburg,Philadelphia,,,,,,
Northeast,New England,state,1790-05-29,RI,Rhode Island,Providence,Providence,,,,,,
South,South Atlantic,state,1788-05-23,SC,South Carolina,Columbia,Charleston,,,,,,
Midwest,West North Central,state,1889-11-02,SD,South Dakota,Pierre,Sioux Falls,,,,,,
South,East South Central,state,1796-06-01,TN,Tennessee,Nashville,Nashville,,,,,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,1,James Pinckney Henderson,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,2,George T. Wood,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,3,Peter Hansborough Bell,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,4,James W. Henderson,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,5,Elisha M. Pease,male,Unionist,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,6,Hardin R. Runnels,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,7,Sam Houston,male,Independent,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,8,Edward Clark,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,9,Francis Lubbock,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,10,Pendleton Murrah,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,11,Andrew Jackson Hamilton,male,Democratic,,
South,West South Central,state,1845-12-29,TX,Texas,Austin,Houston,12,James W. Throckmorton,male,Democratic,,
