country,level,system,name,district,city,state,url,note
United States,Governmental,District Court,District of Maryland,4,Baltimore,Maryland,,
United States,Governmental,District Court,District of South Carolina,4,Charleston,South Carolina,,
United States,Governmental,District Court,Eastern District of Virginia,4,Alexandria,Virginia,,
United States,Governmental,District Court,Eastern District of North Carolina,4,Raleigh,North Carolina,,
United States,Governmental,District Court,Middle District of North Carolina,4,Greensboro,North Carolina,,
United States,Governmental,District Court,Northern District of West Virginia,4,Martinsburg,West Virginia,,
United States,Governmental,District Court,Southern District of West Virginia,4,Charleston,West Virginia,,
United States,Governmental,District Court,Western District of Virginia,4,Roanoke,Virginia,,
United States,Governmental,District Court,Western District of North Carolina,4,Charlotte,North Carolina,,
United States,Governmental,District Court,Eastern District of Louisiana,5,New Orleans,Louisiana,,
United States,Governmental,District Court,Eastern District of Texas,5,Tyler,Texas,,
United States,Governmental,District Court,Middle District of Louisiana,5,Baton Rouge,Louisiana,,
United States,Governmental,District Court,Northern District of Mississippi,5,Oxford,Mississippi,,
United States,Governmental,District Court,Northern District of Texas,5,Dallas,Texas,,
United States,Governmental,District Court,Southern District of Mississippi,5,Jackson,Mississippi,,
United States,Governmental,District Court,Southern District of Texas,5,Houston,Texas,,
United States,Governmental,District Court,Western District of Louisiana,5,Shreveport,Louisiana,,
United States,Governmental,District Court,Western District of Texas,5,San Antonio,Texas,,
United States,Governmental,District Court,Eastern District of Kentucky,6,Lexington,Kentucky,,
United States,Governmental,District Court,Eastern District of Michigan,6,Detroit,Michigan,,
United States,Governmental,District Court,Eastern District of Tennessee,6,Knoxville,Tennessee,,
United States,Governmental,District Court,Middle District of Tennessee,6,Nashville,Tennessee,,
United States,Governmental,District Court,Northern District of Ohio,6,Cleveland,Ohio,,
United States,Governmental,District Court,Southern District of Ohio,6,Columbus,Ohio,,
United States,Governmental,District Court,Western District of Kentucky,6,Louisville,Kentucky,,
United States,Governmental,District Court,Western District of Michigan,6,Grand Rapids,Michigan,,
United States,Governmental,District Court,Western District of Tennessee,6,Memphis,Tennessee,,
United States,Governmental,District Court,Central District of Illinois,7,Springfield,Illinois,,
United States,Governmental,District Court,Eastern District of Wisconsin,7,Milwaukee,Wisconsin,,
United States,Governmental,District Court,Northern District of Illinois,7,Chicago,Illinois,,
United States,Governmental,District Court,Northern District of Indiana,7,South Bend,Indiana,,
United States,Governmental,District Court,Southern District of Illinois,7,East St. Louis,Illinois,,
United States,Governmental,District Court,Southern District of Indiana,7,Indianapolis,Indiana,,
United States,Governmental,District Court,Western District of Wisconsin,7,Madison,Wisconsin,,
United States,Governmental,District Court,District of Minnesota,8,Minneapolis,Minnesota,,
United States,Governmental,District Court,District of Nebraska,8,Omaha,Nebraska,,
United States,Governmental,District Court,District of North Dakota,8,Bismarck,North Dakota,,
United States,Governmental,District Court,District of South Dakota,8,Sioux Falls,South Dakota,,
United States,Governmental,District Court,Eastern District of Arkansas,8,Little Rock,Arkansas,,
United States,Governmental,District Court,Eastern District of Missouri,8,St. Louis,Missouri,,
United States,Governmental,District Court,Northern District of Iowa,8,Cedar Rapids,Iowa,,
United States,Governmental,District Court,Southern District of Iowa,8,Des Moines,Iowa,,
United States,Governmental,District Court,Western District of Arkansas,8,Fort Smith,Arkansas,,
United States,Governmental,District Court,Western District of Missouri,8,Kansas City,Missouri,,
United States,Governmental,District Court,Central District of California,9,Los Angeles,California,,
United States,Governmental,District Court,District of Alaska,9,Anchorage,Alaska,,
United States,Governmental,District Court,District of Arizona,9,Phoenix,Arizona,,
United States,Governmental,District Court,District of Guam,9,Hagåtña,Guam,,
United States,Governmental,District Court,District of Hawaii,9,Honolulu,Hawaii,,
United States,Governmental,District Court,District of Idaho,9,Boise,Idaho,,
United States,Governmental,District Court,District of Montana,9,Missoula,Montana,,
United States,Governmental,District Court,District of Nevada,9,Las Vegas,Nevada,,
United States,Governmental,District Court,District of Oregon,9,Portland,Oregon,,
United States,Governmental,District Court,District of the Northern Mariana Islands,9,Saipan,Northern Mariana Islands,,
United States,Governmental,District Court,Eastern District of California,9,Sacramento,California,,
United States,Governmental,District Court,Eastern District of Washington,9,Spokane,Washington,,
United States,Governmental,District Court,Northern District of California,9,San Francisco,California,,
United States,Governmental,District Court,Southern District of California,9,San Diego,California,,
United States,Governmental,District Court,Western District of Washington,9,Seattle,Washington,,
United States,Governmental,District Court,District of Colorado,10,Denver,Colorado,,
United States,Governmental,District Court,District of Kansas,10,Kansas City,Kansas,,
United States,Governmental,District Court,District of Utah,10,Salt Lake City,Utah,,
United States,Governmental,District Court,District of Wyoming,10,Cheyenne,Wyoming,,
United States,Governmental,District Court,District of New Mexico,10,Albuquerque,New Mexico,,
United States,Governmental,District Court,Eastern District of Oklahoma,10,Muskogee,Oklahoma,,
United States,Governmental,District Court,Northern District of Oklahoma,10,Tulsa,Oklahoma,,
United States,Governmental,District Court,Western District of Oklahoma,10,Oklahoma City,Oklahoma,,
United States,Governmental,District Court,Middle District of Alabama,11,Montgomery,Alabama,,
United States,Governmental,District Court,Middle District of Florida,11,Orlando,Florida,,
United States,Governmental,District Court,Middle District of Georgia,11,Macon,Georgia,,
United States,Governmental,District Court,Northern District of Alabama,11,Birmingham,Alabama,,
United States,Governmental,District Court,Northern District of Florida,11,Tallahassee,Florida,,
United States,Governmental,District Court,Northern District of Georgia,11,Atlanta,Georgia,,
United States,Governmental,District Court,Southern District of Alabama,11,Mobile,Alabama,,
United States,Governmental,District Court,Southern District of Florida,11,Miami,Florida,,
United States,Governmental,District Court,Southern District of Georgia,11,Savannah,Georgia,,
United States,Governmental,District Court,District of Columbia,D.C.,Washington D.C.,Washington D.C.,,
United States,Governmental,Circuit Court,First Circuit,1,Massachusetts,Boston,,
United States,Governmental,Circuit Court,Second Circuit,2,New York City,New York,,
United States,Governmental,Circuit Court,Third Circuit,3,Philadelphia,Pennsylvania,,
United States,Governmental,Circuit Court,Fourth Circuit,4,Richmond,Virginia,,
United States,Governmental,Circuit Court,Fifth Circuit,5,New Orleans,Louisiana,,
United States,Governmental,Circuit Court,Sixth Circuit,6,Cincinnati,Ohio,,
United States,Governmental,Circuit Court,Seventh Circuit,7,Chicago,Illinois,,
United States,Governmental,Circuit Court,Eighth Circuit,8,St. Louis,Missouri,,
United States,Governmental,Circuit Court,Ninth Circuit,9,San Francisco,California,,
United States,Governmental,Circuit Court,Tenth Circuit,10,Denver,Colorado,,
United States,Governmental,Circuit Court,Evelenth Circuit,11,Atlanta,Georgia,,
United States,Governmental,Circuit Court,District of Columbia Circuit,D.C.,Washington D.C.,Washington D.C.,,
United States,Governmental,Circuit Court,Court of Appeals for Veterans Claims,Federal,Washington D.C.,Washington D.C.,,
United States,Governmental,Circuit Court,Court of Federal Claims,Federal,Washington D.C.,Washington D.C.,,
United States,Governmental,Circuit Court,Court of International,Federal,Washington D.C.,Washington D.C.,,
Australia,Private,Bank,Commonwealth Bank,,,,,
Australia,Private,Bank,"Australia & New Zealand Banking Group (ANZ) ",,,,,
Australia,Private,Bank,Westpac,,,,,
Australia,Private,Bank,National Australia Bank (NAB),,,,,
Vietnam,Private,Bank,Ngân hàng An Bình,,,,https://abbank.vn,
Vietnam,Private,Bank,Ngân hàng Á Châu,,,,https://acb.com.vn,
Vietnam,Private,Bank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,,,https://agribank.com.vn,
Vietnam,Private,Bank,Ngân hàng Bắc Á,,,,https://baca-bank.vn,
Vietnam,Private,Bank,Ngân hàng Bảo Việt,,,,https://baovietbank.vn,
Vietnam,Private,Bank,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,,,,https://bidv.com.vn,
Vietnam,Private,Bank,Ngân hàng Bản Việt,,,,https://vietcapitalbank.com.vn,
Vietnam,Private,Bank,Ngân hàng Xây dựng,,,,https://cbbank.vn,
Vietnam,Private,Bank,Ngân hàng Công thương Việt Nam,,,,https://vietinbank.vn,
Vietnam,Private,Bank,Ngân hàng thương mại cổ phần Đông Á,,,,https://dongabank.com.vn,
Vietnam,Private,Bank,Ngân hàng Xuất Nhập khẩu Việt Nam,,,,https://eximbank.com.vn,
Vietnam,Private,Bank,Ngân hàng Dầu Khí Toàn Cầu,,,,https://gpbank.com.vn,
Vietnam,Private,Bank,Ngân hàng thương mại cổ phần Phát triển Nhà Thành phố Hồ Chí Minh,,,,https://hdbank.com.vn,
Vietnam,Private,Bank,Ngân Hàng Kiên Long,,,,https://kienlongbank.com,
Vietnam,Private,Bank,Ngân hàng Bưu điện Liên Việt,,,,https://lienvietpostbank.com.vn,
United States,Private,Investment Bank,Goldman Sachs,,,,,
United States,Private,Investment Bank,BofA Securities,,,,,
United States,Private,Investment Bank,Morgan Stanley,,,,,
United States,Private,Investment Bank,Citigroup,,,,,
Vietnam,Private,Mobile Provider,Vietnamobile,,,,,"56,58,92"
Vietnam,Private,Mobile Provider,Viettel,,,,,"32,33,34,35,36,37,38,39,86,96,97,98"
Vietnam,Private,Mobile Provider,Gmobile,,,,,"59,99"
Vietnam,Private,Mobile Provider,Mobifone,,,,,"70,76,77,78,79,89,90,93"
Vietnam,Private,Mobile Provider,Vinaphone,,,,,"81,82,83,84,85,88,91,94"
United States,Private,Venture Capital,BlackRock,,,,,
United States,Private,Venture Capital,Blackstone,,,,,
Vietnam,Private,Bank,Ngân hàng Quân đội,,,,https://mbbank.com.vn,
Vietnam,Private,Bank,Ngân hàng Hàng Hải Việt Nam,,,,https://msb.com.vn,
Vietnam,Private,Bank,Ngân hàng thương mại cổ phần Nam Á,,,,https://namabank.com.vn,
Vietnam,Private,Bank,Ngân hàng Quốc Dân,,,,https://ncb-bank.vn,
Vietnam,Private,Bank,Ngân hàng Phương Đông,,,,https://ocb.com.vn,
Vietnam,Private,Bank,Ngân hàng Đại Dương,,,,https://oceanbank.vn,
Vietnam,Private,Bank,Ngân hàng Xăng dầu Petrolimex,,,,https://pgbank.com.vn,
Vietnam,Private,Bank,Ngân hàng Đại chúng Việt Nam,,,,https://pvcombank.com.vn,
Vietnam,Private,Bank,Ngân hàng TMCP Sài Gòn,,,,https://scb.com.vn,
Vietnam,Private,Bank,Ngân hàng Sài Gòn Công Thương,,,,https://saigonbank.com.vn,
Vietnam,Private,Bank,Ngân hàng Sài Gòn - Hà Nội,,,,https://shb.com.vn,
Vietnam,Private,Bank,Ngân hàng Đông Nam Á,,,,https://seabank.com.vn,
Vietnam,Private,Bank,Ngân hàng Sài Gòn Thương Tín,,,,https://sacombank.com.vn,
Vietnam,Private,Bank,Ngân hàng Kỹ Thương Việt Nam,,,,https://techcombank.com.vn,
Vietnam,Private,Bank,Ngân hàng Tiên Phong,,,,https://tpb.vn,
Vietnam,Private,Bank,Ngân hàng UOB,,,,https://www.uob.com.vn,
Vietnam,Private,Bank,Ngân hàng Việt Á,,,,https://vietabank.com.vn,
Vietnam,Private,Bank,Ngân hàng Việt Nam Thương Tín,,,,https://vietbank.com.vn,
Vietnam,Private,Bank,Ngân hàng Ngoại thương Việt Nam,,,,https://vietcombank.com.vn,
Vietnam,Private,Bank,Ngân hàng Quốc tế,,,,https://vib.com.vn,
Vietnam,Private,Bank,Ngân hàng Việt Nam Thịnh Vượng,,,,https://vpbank.com.vn,
Canada,Private,Investment Bank,RBC Capital Markets,,,,,
Germany,Private,Investment Bank,Deutsche Bank,,,,,
Switzerland,Private,Investment Bank,UBS,,,,,
United Kingdom,Private,Investment Bank,HSBC,,,,,
United Kingdom,Private,Investment Bank,Barclays,,,,,
United States,Private,Investment Bank,JPMorgan Chase,,,,,
United States,Private,Venture Capital,Vanguard,,,,,
Vietnam,Private,Venture Capital,Dragon Capital,,,,,
Vietnam,Private,Venture Capital,VinaCapital,,,,,
