country,branch_no,branch,department_no,department,head,head_no,name,full_name,party,state,district,president,start_date,end_date,birth_age,birth_state,birth_country,education
United States,2,executive,0,White House,President,33.0,Harry S. Truman,Harry S. Truman,Democratic,Missouri,,,,,,Missouri,United States,bachelor
United States,2,executive,0,White House,President,34.0,Dwight D. Eisenhower,"Dwight David""Ike"" Eisenhower",Republican,Kansas,,,,,,Texas,United States,bachelor
United States,2,executive,0,White House,President,35.0,John F. Kennedy,John Fitzgerald Kennedy,Democratic,Massachusetts,,,,,,Massachusetts,United States,law
United States,2,executive,0,White House,President,36.0,Lyndon B. Johnson,Lyndon Baines Johnson,Democratic,Texas,,,,,,Texas,United States,master
United States,2,executive,0,White House,President,37.0,Richard Nixon,Richard Milhous Nixon,Republican,California,,,,,,California,United States,law
United States,2,executive,0,White House,President,38.0,Gerald Ford,Gerald Rudolph Ford Jr.,Republican,Michigan,,,,,,Nebraska,United States,bachelor
United States,2,executive,0,White House,President,39.0,Jimmy Carter,James Earl Carter Jr.,Democratic,Georgia,,,,,,Georgia,United States,law
United States,2,executive,0,White House,President,40.0,Ronald Reagan,Ronald Wilson Reagan,Republican,California,,,,,,Illinois,United States,education
United States,2,executive,0,White House,President,41.0,George H. W. Bush,George Herbert Walker Bush,Republican,Texas,,,,,,Massachusetts,United States,none
United States,2,executive,0,White House,President,42.0,Bill Clinton,William Jefferson Clinton,Democratic,Arkansas,,,,,,Arkansas,United States,master
United States,2,executive,0,White House,President,43.0,George W. Bush,George Walker Bush,Republican,Texas,,,,,,Connecticut,United States,bachelor
United States,2,executive,0,White House,President,44.0,Barack Obama,Barack Hussein Obama II,Democratic,Illinois,,,,,,Hawaii,United States,bachelor
United States,2,executive,0,White House,President,45.0,Donald Trump,Donald John Trump,Republican,New York,,,,,,New York,United States,none
United States,2,executive,0,White House,President,46.0,Joe Biden,Joseph Robinette Biden Jr.,Democratic,Delaware,,,,,,Pennsylvania,United States,master
United States,2,executive,1,White House,Vice President,1.0,John Adams,,,,,George Washington,,,,,,none
United States,2,executive,1,White House,Vice President,2.0,Thomas Jefferson,,,,,John Adams,,,,,,bachelor
United States,2,executive,1,White House,Vice President,3.0,Aaron Burr,,,,,Thomas Jefferson,,,,,,none
United States,2,executive,1,White House,Vice President,4.0,George Clinton,,,,,Thomas Jefferson,,,,,,none
United States,2,executive,1,White House,Vice President,5.0,Elbridge Gerry,,,,,James Madison,,,,,,bachelor
United States,2,executive,1,White House,Vice President,6.0,Daniel D. Tompkins,,,,,James Monroe,,,,,,law
United States,2,executive,1,White House,Vice President,7.0,John C. Calhoun,,,,,John Q. Adams,,,,,,doctorate
United States,2,executive,1,White House,Vice President,8.0,Martin Van Buren,,,,,Andrew Jackson,,,,,,bachelor
United States,2,executive,1,White House,Vice President,9.0,Richard Mentor Johnson,,,,,Martin Van Buren,,,,,,bachelor
United States,2,executive,1,White House,Vice President,10.0,John Tyler,,,,,William H. Harrison,,,,,,bachelor
United States,2,executive,1,White House,Vice President,11.0,George M. Dallas,,,,,James K. Polk,,,,,,bachelor
United States,2,executive,1,White House,Vice President,12.0,Millard Fillmore,,,,,Zachary Taylor,,,,,,none
United States,2,executive,1,White House,Vice President,13.0,William R. King,,,,,Franklin Pierce,,,,,,bachelor
United States,2,executive,1,White House,Vice President,14.0,John C. Breckinridge,,,,,James Buchanan,,,,,,bachelor
United States,2,executive,1,White House,Vice President,15.0,Hannibal Hamlin,,,,,Abraham Lincoln,,,,,,bachelor
United States,2,executive,1,White House,Vice President,16.0,Andrew Johnson,,,,,Abraham Lincoln,,,,,,law
United States,2,executive,1,White House,Vice President,17.0,Schuyler Colfax,,,,,Ulysses S. Grant,,,,,,law
United States,2,executive,1,White House,Vice President,18.0,Henry Wilson,,,,,Ulysses S. Grant,,,,,,bachelor
United States,2,executive,1,White House,Vice President,19.0,William A. Wheeler,,,,,Rutherford B. Hayes,,,,,,bachelor
United States,2,executive,1,White House,Vice President,20.0,Chester A. Arthur,,,,,James A. Garfield,,,,,,bachelor
United States,2,executive,1,White House,Vice President,21.0,Thomas A. Hendricks,,,,,Grover Cleveland,,,,,,law
United States,2,executive,1,White House,Vice President,22.0,Levi P. Morton,,,,,Benjamin Harrison,,,,,,master
United States,2,executive,1,White House,Vice President,23.0,Adlai Stevenson I,,,,,Grover Cleveland,,,,,,law
United States,2,executive,1,White House,Vice President,24.0,Garret Hobart,,,,,William McKinley,,,,,,bachelor
United States,2,executive,1,White House,Vice President,25.0,Theodore Roosevelt,,,,,William McKinley,,,,,,law
United States,2,executive,1,White House,Vice President,26.0,Charles W. Fairbanks,,,,,Theodore Roosevelt,,,,,,education
United States,2,executive,1,White House,Vice President,27.0,James S. Sherman,,,,,William H. Taft,,,,,,none
United States,2,executive,1,White House,Vice President,28.0,Thomas R. Marshall,,,,,Woodrow Wilson,,,,,,master
United States,2,executive,1,White House,Vice President,29.0,Calvin Coolidge,,,,,Warren G. Harding,,,,,,bachelor
United States,2,executive,1,White House,Vice President,30.0,Charles G. Dawes,,,,,Calvin Coolidge,,,,,,bachelor
United States,2,executive,1,White House,Vice President,31.0,Charles Curtis,,,,,Herbert Hoover,,,,,,none
United States,2,executive,1,White House,Vice President,32.0,John Nance Garner,,,,,Franklin D. Roosevelt,,,,,,master
United States,2,executive,1,White House,Vice President,33.0,Henry A. Wallace,,,,,Franklin D. Roosevelt,,,,,,none
United States,2,executive,1,White House,Vice President,34.0,Harry S. Truman,,,,,Franklin D. Roosevelt,,,,,,none
United States,2,executive,1,White House,Vice President,35.0,Alben W. Barkley,,,,,Harry S. Truman,,,,,,none
United States,2,executive,1,White House,Vice President,36.0,Richard Nixon,,,,,Dwight D. Eisenhower,,,,,,bachelor
United States,2,executive,1,White House,Vice President,37.0,Lyndon B. Johnson,,,,,John F. Kennedy,,,,,,bachelor
United States,2,executive,1,White House,Vice President,38.0,Hubert Humphrey,,,,,Lyndon B. Johnson,,,,,,none
United States,2,executive,1,White House,Vice President,39.0,Spiro Agnew,,,,,Richard Nixon,,,,,,none
United States,2,executive,1,White House,Vice President,40.0,Gerald Ford,,,,,Richard Nixon,,,,,,bachelor
United States,2,executive,1,White House,Vice President,41.0,Nelson Rockefeller,,,,,Gerald Ford,,,,,,bachelor
United States,2,executive,1,White House,Vice President,42.0,Walter Mondale,,,,,Jimmy Carter,,,,,,none
United States,2,executive,1,White House,Vice President,43.0,George H. W. Bush,,,,,Ronald Reagan,,,,,,none
United States,2,executive,1,White House,Vice President,44.0,Dan Quayle,,,,,George H. W. Bush,,,,,,bachelor
United States,2,executive,1,White House,Vice President,45.0,Al Gore,,,,,Bill Clinton,,,,,,law
United States,2,executive,1,White House,Vice President,46.0,Dick Cheney,,,,,George W. Bush,,,,,,bachelor
United States,2,executive,1,White House,Vice President,47.0,Joe Biden,,,,,Barack Obama,,,,,,bachelor
United States,2,executive,1,White House,Vice President,48.0,Mike Pence,,,,,Donald Trump,,,,,,none
United States,2,executive,1,White House,Vice President,49.0,Kamala Harris,,,,,Joe Biden,,,,,,bachelor
United States,2,executive,3,Department of State,Secretary of State,1.0,Thomas Jefferson,,Democratic-Republican,,,George Washington,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,2.0,Edmund Randolph,,Federalist,,,George Washington,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,3.0,Timothy Pickering,,Federalist,,,George Washington,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,4.0,John Marshall,,Federalist,,,John Adams,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,5.0,James Madison,,Democratic-Republican,,,Thomas Jefferson,,,,,United States,doctorate
United States,2,executive,3,Department of State,Secretary of State,6.0,Robert Smith,,Democratic-Republican,,,James Madison,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,7.0,James Monroe,,Democratic-Republican,,,James Madison,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,8.0,John Quincy Adams,,Democratic-Republican,,,James Monroe,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,9.0,Henry Clay,,Democratic-Republican,,,John Quincy Adams,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,10.0,Martin Van Buren,,Democratic,,,Andrew Jackson,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,11.0,Edward Livingston,,Democratic,,,Andrew Jackson,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,12.0,Louis McLane,,Democratic,,,Andrew Jackson,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,13.0,John Forsyth,,Democratic,,,Andrew Jackson,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,14.0,Daniel Webster,,Whig,,,William Henry Harrison,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,15.0,Abel P. Upshur,,Whig,,,John Tyler,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,16.0,John C. Calhoun,,Democratic,,,John Tyler,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,17.0,James Buchanan,,Democratic,,,James K. Polk,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,18.0,John M. Clayton,,Whig,,,Zachary Taylor,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,19.0,Daniel Webster,,Whig,,,Millard Fillmore,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,20.0,Edward Everett,,Whig,,,Millard Fillmore,,,,,United States,master
United States,2,executive,3,Department of State,Secretary of State,21.0,William L. Marcy,,Democratic,,,Franklin Pierce,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,22.0,Lewis Cass,,Democratic,,,James Buchanan,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,23.0,Jeremiah S. Black,,Democratic,,,James Buchanan,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,24.0,William H. Seward,,Republican,,,Abraham Lincoln,,,,,United States,education
United States,2,executive,3,Department of State,Secretary of State,25.0,Elihu B. Washburne,,Republican,,,Ulysses S. Grant,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,26.0,Hamilton Fish,,Republican,,,Ulysses S. Grant,,,,,United States,master
United States,2,executive,3,Department of State,Secretary of State,27.0,William M. Evarts,,Republican,,,Rutherford B. Hayes,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,28.0,James G. Blaine,,Republican,,,James A. Garfield,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,29.0,Frederick Theodore Frelinghuysen,,Republican,,,Chester A. Arthur,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,30.0,Thomas F. Bayard,,Democratic,,,Grover Cleveland,,,,,United States,master
United States,2,executive,3,Department of State,Secretary of State,31.0,James G. Blaine,,Republican,,,Benjamin Harrison,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,32.0,John W. Foster,,Republican,,,Benjamin Harrison,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,33.0,Walter Q. Gresham,,Democratic,,,Grover Cleveland,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,34.0,Richard Olney,,Democratic,,,Grover Cleveland,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,35.0,John Sherman,,Republican,,,William McKinley,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,36.0,William R. Day,,Republican,,,William McKinley,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,37.0,John Hay,,Republican,,,William McKinley,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,38.0,Elihu Root,,Republican,,,Theodore Roosevelt,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,39.0,Robert Bacon,,Republican,,,Theodore Roosevelt,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,40.0,Philander C. Knox,,Republican,,,William Howard Taft,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,41.0,William Jennings Bryan,,Democratic,,,Woodrow Wilson,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,42.0,Robert Lansing,,Democratic,,,Woodrow Wilson,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,43.0,Bainbridge Colby,,Democratic,,,Woodrow Wilson,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,44.0,Charles Evans Hughes,,Republican,,,Warren G. Harding,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,45.0,Frank B. Kellogg,,Republican,,,Calvin Coolidge,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,46.0,Henry L. Stimson,,Republican,,,Herbert Hoover,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,47.0,Cordell Hull,,Democratic,,,Franklin D. Roosevelt,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,48.0,Edward Stettinius Jr.,,Democratic,,,Franklin D. Roosevelt,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,49.0,James F. Byrnes,,Democratic,,,Harry S. Truman,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,50.0,George C. Marshall,,Independent,,,Harry S. Truman,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,51.0,Dean Acheson,,Democratic,,,Harry S. Truman,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,52.0,John Foster Dulles,,Republican,,,Dwight D. Eisenhower,,,,,United States,doctorate
United States,2,executive,3,Department of State,Secretary of State,53.0,Christian Herter,,Republican,,,Dwight D. Eisenhower,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,54.0,Dean Rusk,,Democratic,,,Lyndon B. Johnson,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,55.0,William P. Rogers,,Republican,,,Richard Nixon,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,56.0,Henry Kissinger,,Republican,,,Richard Nixon,,,,,Germany,bachelor
United States,2,executive,3,Department of State,Secretary of State,57.0,Cyrus Vance,,Democratic,,,Jimmy Carter,,,,,United States,none
United States,2,executive,3,Department of State,Secretary of State,58.0,Edmund Muskie,,Democratic,,,Jimmy Carter,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,59.0,Alexander Haig,,Republican,,,Ronald Reagan,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,60.0,George Shultz,,Republican,,,Ronald Reagan,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,61.0,James Baker,,Republican,,,George H. W. Bush,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,62.0,Lawrence Eagleburger,,Republican,,,George H. W. Bush,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,63.0,Warren Christopher,,Democratic,,,Bill Clinton,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,64.0,Madeleine Albright,,Democratic,,,Bill Clinton,,,,,Czech Republic,bachelor
United States,2,executive,3,Department of State,Secretary of State,65.0,Colin Powell,,Republican,,,George W. Bush,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,66.0,Condoleezza Rice,,Republican,,,George W. Bush,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,67.0,Hillary Clinton,,Democratic,,,Barack Obama,,,,,United States,master
United States,2,executive,3,Department of State,Secretary of State,68.0,John Kerry,,Democratic,,,Barack Obama,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,69.0,Rex Tillerson,,Republican,,,Donald Trump,,,,,United States,bachelor
United States,2,executive,3,Department of State,Secretary of State,70.0,Mike Pompeo,,Republican,,,Donald Trump,,,,,United States,law
United States,2,executive,3,Department of State,Secretary of State,71.0,Antony Blinken,,Democratic,,,Joe Biden,,,,,United States,education
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,1.0,Alexander Hamilton,,Federalist,,,George Washington,,,,,Saint Kitts and Nevis,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,2.0,Oliver Wolcott Jr.,,Federalist,,,John Adams,,,,,United States,master
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,3.0,Samuel Dexter,,Federalist,,,Thomas Jefferson,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,4.0,Albert Gallatin,,Democratic-Republican,,,James Madison,,,,,Switzerland,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,5.0,George W. Campbell,,Democratic-Republican,,,James Madison,,,,,United Kingdom,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,6.0,Alexander J. Dallas,,Democratic-Republican,,,James Madison,,,,,United States,master
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,7.0,William H. Crawford,,Democratic-Republican,,,James Monroe,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,8.0,Richard Rush,,Federalist,,,John Quincy Adams,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,9.0,Samuel D. Ingham,,Democratic,,,Andrew Jackson,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,10.0,Louis McLane,,Democratic,,,Andrew Jackson,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,11.0,William J. Duane,,Democratic,,,Andrew Jackson,,,,,Ireland,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,12.0,Roger B. Taney,,Democratic,,,Andrew Jackson,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,13.0,Levi Woodbury,,Democratic,,,Martin Van Buren,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,14.0,Thomas Ewing,,Whig,,,William Henry Harrison,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,15.0,Walter Forward,,Whig,,,John Tyler,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,16.0,John Canfield Spencer,,Whig,,,John Tyler,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,17.0,George M. Bibb,,Democratic,,,John Tyler,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,18.0,Robert J. Walker,,Democratic,,,James K. Polk,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,19.0,William M. Meredith,,Whig,,,Zachary Taylor,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,20.0,Thomas Corwin,,Whig,,,Millard Fillmore,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,21.0,James Guthrie,,Democratic,,,Franklin Pierce,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,22.0,Howell Cobb,,Democratic,,,James Buchanan,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,23.0,Philip Francis Thomas,,Democratic,,,James Buchanan,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,24.0,John Adams Dix,,Democratic,,,James Buchanan,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,25.0,Salmon P. Chase,,Republican,,,Abraham Lincoln,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,26.0,William P. Fessenden,,Republican,,,Abraham Lincoln,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,27.0,Hugh McCulloch,,Republican,,,Andrew Johnson,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,28.0,George S. Boutwell,,Republican,,,Ulysses S. Grant,,,,,United States,doctorate
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,29.0,William Adams Richardson,,Republican,,,Ulysses S. Grant,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,30.0,Benjamin Bristow,,Republican,,,Ulysses S. Grant,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,31.0,Lot M. Morrill,,Republican,,,Ulysses S. Grant,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,32.0,John Sherman,,Republican,,,Rutherford B. Hayes,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,33.0,William Windom,,Republican,,,James A. Garfield,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,34.0,Charles J. Folger,,Republican,,,Chester A. Arthur,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,35.0,Walter Q. Gresham,,Republican,,,Chester A. Arthur,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,36.0,Hugh McCulloch,,Republican,,,Chester A. Arthur,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,37.0,Daniel Manning,,Democratic,,,Grover Cleveland,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,38.0,Charles S. Fairchild,,Democratic,,,Grover Cleveland,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,39.0,William Windom,,Republican,,,Benjamin Harrison,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,40.0,Charles Foster,,Republican,,,Benjamin Harrison,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,41.0,John G. Carlisle,,Democratic,,,Grover Cleveland,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,42.0,Lyman J. Gage,,Republican,,,William McKinley,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,43.0,L. M. Shaw,,Republican,,,Theodore Roosevelt,,,,,United States,master
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,44.0,George B. Cortelyou,,Republican,,,Theodore Roosevelt,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,45.0,Franklin MacVeagh,,Republican,,,William Howard Taft,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,46.0,William Gibbs McAdoo,,Democratic,,,Woodrow Wilson,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,47.0,Carter Glass,,Democratic,,,Woodrow Wilson,,,,,United States,education
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,48.0,David F. Houston,,Democratic,,,Woodrow Wilson,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,49.0,Andrew Mellon,,Republican,,,Warren G. Harding,,,,,United States,master
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,50.0,Ogden L. Mills,,Republican,,,Herbert Hoover,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,51.0,William H. Woodin,,Republican,,,Franklin D. Roosevelt,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,52.0,Henry Morgenthau Jr.,,Democratic,,,Franklin D. Roosevelt,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,53.0,Fred M. Vinson,,Democratic,,,Harry S. Truman,,,,,United States,master
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,54.0,John Wesley Snyder,,Democratic,,,Harry S. Truman,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,55.0,George M. Humphrey,,Republican,,,Dwight D. Eisenhower,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,56.0,Robert B. Anderson,,Republican,,,Dwight D. Eisenhower,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,57.0,C. Douglas Dillon,,Republican,,,John F. Kennedy,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,58.0,Henry H. Fowler,,Democratic,,,Lyndon B. Johnson,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,59.0,Joseph W. Barr,,Democratic,,,Lyndon B. Johnson,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,60.0,David M. Kennedy,,Republican,,,Richard Nixon,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,61.0,John Connally,,Democratic,,,Richard Nixon,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,62.0,George Shultz,,Republican,,,Richard Nixon,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,63.0,William E. Simon,,Republican,,,Gerald Ford,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,64.0,W. Michael Blumenthal,,Democratic,,,Jimmy Carter,,,,,Germany,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,65.0,G. William Miller,,Democratic,,,Jimmy Carter,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,66.0,Donald Regan,,Republican,,,Ronald Reagan,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,67.0,James Baker,,Republican,,,Ronald Reagan,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,68.0,Nicholas F. Brady,,Republican,,,George H. W. Bush,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,69.0,Lloyd Bentsen,,Democratic,,,Bill Clinton,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,70.0,Robert Rubin,,Democratic,,,Bill Clinton,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,71.0,Lawrence Summers,,Democratic,,,Bill Clinton,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,72.0,Paul H. O'Neill,,Republican,,,George W. Bush,,,,,United States,none
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,73.0,John W. Snow,,Republican,,,George W. Bush,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,74.0,Henry Paulson,,Republican,,,George W. Bush,,,,,United States,law
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,75.0,Timothy Geithner,,Independent,,,Barack Obama,,,,,United States,doctorate
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,76.0,Jack Lew,,Democratic,,,Barack Obama,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,77.0,Steven Mnuchin,,Republican,,,Donald Trump,,,,,United States,bachelor
United States,2,executive,4,Department of the Treasury,Secretary of the Treasury,78.0,Janet Yellen,,Democratic,,,Joe Biden,,,,,United States,bachelor
United States,2,executive,5,Department of Defense,Secretary of Defense,1.0,James Forrestal,,Democratic,,,Harry S Truman,,,,,United States,bachelor
United States,2,executive,5,Department of Defense,Secretary of Defense,2.0,Louis A. Johnson,,Democratic,,,Harry S Truman,,,,,United States,none
United States,2,executive,5,Department of Defense,Secretary of Defense,3.0,George C. Marshall,,Independent,,,Harry S Truman,,,,,United States,bachelor
United States,2,executive,5,Department of Defense,Secretary of Defense,4.0,Robert A. Lovett,,Republican,,,Harry S Truman,,,,,United States,bachelor
United States,2,executive,5,Department of Defense,Secretary of Defense,5.0,Charles Erwin Wilson,,Republican,,,Dwight D. Eisenhower,,,,,United States,bachelor
United States,2,executive,5,Department of Defense,Secretary of Defense,6.0,Neil H. McElroy,,Republican,,,Dwight D. Eisenhower,,,,,United States,law
United States,2,executive,5,Department of Defense,Secretary of Defense,7.0,Thomas S. Gates Jr.,,Republican,,,Dwight D. Eisenhower,,,,,United States,law
United States,2,executive,5,Department of Defense,Secretary of Defense,8.0,Robert McNamara,,Republican,,,John F. Kennedy,,,,,United States,bachelor
United States,2,executive,5,Department of Defense,Secretary of Defense,9.0,Clark Clifford,,Democratic,,,Lyndon B. Johnson,,,,,United States,bachelor
